epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,525.38,1.5004,2.50044,1.05115,0.16796,0.76293,0.22599,0.10188,1.84424,3.83274,1.26279,0.00013,0.00013,0.00013
2,1038.6,1.29907,1.60754,0.99756,0.16796,0.76293,0.22599,0.10188,4.27261,14094,4.04996,0.000256635,0.000256635,0.000256635
3,1543.07,1.31004,1.37727,0.98268,0.16796,0.76293,0.22599,0.10188,5.79008,16869.5,20.81,0.00036941,0.00036941,0.00036941
4,2041.66,1.3258,1.15305,1.00279,0.16673,0.00556,0.08433,0.03374,5.30755,819.177,4.61922,0.000468325,0.000468325,0.000468325
5,2535.98,1.34738,1.15256,0.99135,0.56514,0.32678,0.36033,0.20453,1.80178,2.65423,1.32645,0.00055338,0.00055338,0.00055338
6,3033,1.32454,1.04702,0.99138,0.44989,0.21441,0.25695,0.15905,2.4005,30.4337,1.50232,0.000624575,0.000624575,0.000624575
7,3537.51,1.34978,0.95255,1.0045,0.00142,0.01097,0.00072,0.00031,3.00639,135.621,2.85242,0.00068191,0.00068191,0.00068191
8,4039.81,1.24167,0.87761,0.97631,0.6612,0.0493,0.31461,0.25462,1.30118,122.72,1.0644,0.0006535,0.0006535,0.0006535
9,4545.64,1.27152,0.84599,0.97269,0.6612,0.0493,0.31461,0.25462,2.22506,2091.88,1.64313,0.000604,0.000604,0.000604
10,5036.61,1.2868,0.75749,0.96564,0.9465,0.95834,0.98208,0.64347,1.16418,0.61979,1.0046,0.0005545,0.0005545,0.0005545
11,5528.03,1.21039,0.61546,0.99898,0.96893,0.95661,0.98662,0.62,1.27446,0.5747,1.04236,0.000505,0.000505,0.000505
12,6020.15,1.22455,0.60635,1.01285,0.9068,0.71625,0.86346,0.47008,1.65104,1.15805,1.19777,0.0004555,0.0004555,0.0004555
13,6511.63,1.2309,0.58525,1.00156,0.96929,0.96332,0.98511,0.62178,1.24552,0.55109,1.03017,0.000406,0.000406,0.000406
14,7001.53,1.19726,0.54573,1.01493,0.98573,0.96888,0.98867,0.63225,1.20764,0.52004,1.00898,0.0003565,0.0003565,0.0003565
15,7495.26,1.19452,0.55429,0.98546,0.97997,0.97439,0.98992,0.64747,1.18131,0.49396,0.99143,0.000307,0.000307,0.000307
16,7989.89,1.185,0.53406,1.0043,0.9696,0.97681,0.98838,0.6124,1.29677,0.5339,1.04024,0.0002575,0.0002575,0.0002575
17,8483.06,1.18384,0.52878,0.98102,0.97833,0.97017,0.98859,0.5963,1.33667,0.54138,1.0542,0.000208,0.000208,0.000208
18,8975.63,1.14975,0.52014,0.98071,0.98111,0.9733,0.98722,0.65874,1.15065,0.48638,0.98978,0.0001585,0.0001585,0.0001585
19,9470.45,1.14849,0.49926,0.97527,0.97354,0.98312,0.99036,0.64656,1.21131,0.4927,1.00657,0.000109,0.000109,0.000109
20,9965.27,1.14197,0.48744,0.98402,0.98546,0.98513,0.98941,0.68553,1.06598,0.44303,0.96082,5.95e-05,5.95e-05,5.95e-05
