epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,525.149,1.50578,2.56289,1.04328,0.1419,0.79882,0.19358,0.11703,1.29594,16.3732,1.01682,0.00013,0.00013,0.00013
2,996.439,1.26344,1.56336,0.97619,0.35192,0.73739,0.42933,0.18895,1.86547,2.6571,1.25669,0.000247725,0.000247725,0.000247725
3,1479.62,1.30004,1.37553,1.03028,0.42374,0.57297,0.50378,0.18498,2.19682,2.78547,1.46263,0.00034235,0.00034235,0.00034235
4,1952.15,1.29723,1.14834,1.04131,0.33929,0.32564,0.24382,0.12196,1.97488,26.5028,1.36891,0.000413875,0.000413875,0.000413875
5,2417.77,1.2735,1.02138,1.0406,0.83179,0.85924,0.91566,0.55414,1.23823,0.89215,1.04441,0.0004623,0.0004623,0.0004623
6,2883.98,1.25022,0.92941,1.00901,0.90819,0.86202,0.94386,0.56231,1.26407,0.84952,1.03382,0.000487625,0.000487625,0.000487625
7,3353.76,1.22029,0.73846,1.00685,0.91121,0.8023,0.88007,0.46911,1.51268,0.81761,1.13489,0.00048985,0.00048985,0.00048985
8,3845.41,1.17802,0.75783,0.98526,0.93425,0.90821,0.96751,0.56542,1.3276,0.7408,1.07109,0.0004225,0.0004225,0.0004225
9,4312.96,1.27347,0.69105,1.04809,0.96051,0.94318,0.98771,0.5984,1.24763,0.63018,1.01556,0.00034,0.00034,0.00034
10,4780.16,1.16714,0.61839,0.99112,0.97612,0.96936,0.99148,0.60075,1.29279,0.56105,1.02912,0.0002575,0.0002575,0.0002575
11,5246.43,1.19398,0.58246,0.98833,0.97339,0.97659,0.9885,0.62039,1.22696,0.52347,0.99181,0.000175,0.000175,0.000175
12,5712.92,1.13197,0.54175,0.97749,0.98729,0.98331,0.99148,0.6296,1.19695,0.47316,0.97969,9.25e-05,9.25e-05,9.25e-05
